,names,accuracies
0,prabhulingayya-titanic-prediction-using-logistic-regression,0.746
1,erskumars-titanic-survival-eda-and-survival-rate-prediction,0.749
2,paulocressoni-titanic-using-stepwise-linear-regression,0.756
3,abhayjindal-exploring-survival-on-the-titanic,0.744
4,jonmak-identify-travel-groups-in-titanic,0.739
5,jenioai-titanic-data-analysis-rf-prediction-0-81818,0.763
6,rayuga-exploring-survival-on-the-titanic,0.744
7,ezhilvelme-titanic-neural-network-c-4-2,0.749
8,artsyanka-kernel1-titanic-r,0.701
9,mkgiitr-titanic-survival-prediction,0.744
10,woliveira-hello-titanic,0.758
11,dukasguo-exploring-survival-on-the-titanic,0.744
12,cosentinoda12-exploring-survival-on-the-titanic-dc,0.744
13,balakesavan-titanicbalakesavan20160921,0.77
14,francoisolivier-fork-of-titanic-20,0.754
15,zahoorahmad-titanic-2nd-degree-families-and-majority-voting,0.797
16,mcliff-exploring-survival-on-the-titanic,0.751
17,francoisolivier-titanic-20,0.756
18,paulbisto-r-titanic-script-practice,0.763
19,prasadsawant1107-predicting-survival-on-titanic,0.758
20,akramsayadi-exploring-survival-on-the-titanic,0.744
21,proj20-exploring-survival-on-the-titanic,0.744
22,alma123-titanic,0.737
23,mrsheriff-exploring-survival-on-the-titanic,0.744
24,xuhuiz0918-initial-eda-and-lm-on-titanic-dataset,0.761
25,jmercer187-fork-of-titanic2,0.749
26,ianwells-titanic-simple-rf-with-name-and-age-features,0.77
27,rboimistruk-titanic-survivals-analysis,0.773
28,sawajid-titanic-test,0.648
29,crisansou-titanic-automating-model-selection-using-caret,0.737
30,meggles-titanic-svm-submission-1-0,0.756
31,nashyegi-who-all-survived-the-titanic,0.773
32,bubblride-titanic-e1071-c-svc-five-features,0.663
33,amuthand-a-titanic-unpredicted-disaster-predicted,0.766
34,tosnaldo10-titanic-challange,0.754
35,youhe2482-titanic-a-very-first-step,0.766
36,preritsaxena-fork-of-ml-basics-on-titanic-data,0.763
37,cdeotte-titanic-deep-net-0-82296,0.787
38,shashankseth-basic-eda-and-ml-on-titanic-dataset,0.749
39,alfonzo-exploring-survival-on-the-titanic,0.744
40,alamgirm-predicting-survival-on-titanic-dataset,0.734
41,supriya675-titanic-prediction-simplified-for-beginners,0.77
42,datascikrid-exploring-survival-on-the-titanic,0.744
43,lucasguarisco-exploring-survival-on-the-titanic,0.742
44,ljfernando-titanicsurvival,0.778
45,delasupreme-titanic-data-analysis-rf-prediction-0-81818,0.763
46,redroy44-tidy-titanic-script,0.77
47,timothychenallen-titanic-r-randomforest,0.751
48,gzanatta-how-i-reached-top-6-on-titanic-competition,0.751
49,anishmayaramka-the-titanic-datset,0.744
50,aturner-exploring-survival-on-the-titanic,0.744
51,divyabudale-conditional-inference-tree-model-titanic,0.756
52,bonesaw98616-exploring-survival-on-the-titanic,0.742
53,bubblride-titanic-e1071-nu-svc,0.665
54,stevencahill-titanic-machine-learning-from-disaster,0.744
55,antonov-logistic-regression-for-titanic,0.766
56,srikarnamburu-exploring-survival-on-the-titanic,0.744
57,aquilarif-explore-titanic-r,0.746
58,yinpatt-patrick-s-titanic,0.756
59,metal32-exploring-survival-on-the-titanic,0.744
60,fertueros-exploring-survival-on-the-titanic,0.744
61,dsvijayaraghavan-vra-titanic,0.77
62,seanangio-predicting-titanic-survival,0.739
63,qianbi-titanic-nnet,0.73
64,alwortman-titanic-test-script,0.754
65,vincentlugat-titanic-data-analysis-rf-prediction-0-81818,0.763
66,arjunmalhotra-titanic,0.732
67,pranaytiwari-titanic-data-analysis-rf-prediction-0-81818,0.763
68,vikramatjob-exploring-survival-on-the-titanic-var2,0.744
69,areebaatif-titanic,0.756
70,ambikanair-exploring-survival-on-the-titanic,0.744
71,johno883-john-orr-titanic-random-forest,0.768
72,ablearcher-my-titanic,0.787
73,uvcelokesh-titanic-survivor-analysis-different-perspectives,0.749
74,tavoosi-predicting-survival-on-the-titanic-with-rf-lr-nb,0.77
75,fredman-titanic-barebones-benchmark-r,0.756
76,oreddo-exploring-survival-on-the-titanic,0.742
77,kabled-life-and-death-on-the-titanic,0.763
78,yugrao-exploring-survival-on-the-titanic,0.744
79,zossimov-exploring-survival-on-the-titanic,0.758
80,kogamstk-exploring-survival-on-the-titanic,0.744
81,ushasri-titanic-2nd-degree-families-and-majority-voting,0.797
82,avikpaul4u-titanic-machine-learning-in-r,0.577
83,alejandrorivas-titanic-beginners-principiantes-espa-ol,0.744
84,acrespop-titanic1,0.648
85,ryukojin-exploring-survival-on-the-titanic,0.744
86,krupan-exploring-survival-on-the-titanic,0.746
87,tobybot11-toby-s-titanic-analysis,0.758
88,zahraatashgahy-r-titanic-1,0.754
89,yuanwxu-exploring-survival-on-the-titanic,0.742
90,predact-easy-r-titanic-predictive-model,0.754
91,hongviet2002-survived-on-titanic-board,0.751
92,klashgari-titanic,0.242
93,abedben-exploring-survival-on-the-titanic,0.744
94,grapple-exploring-survival-on-the-titanic,0.744
95,datadatum-exploring-survival-on-the-titanic,0.744
96,wendyzhang1020-exploring-survival-on-the-titanic,0.744
97,dralmostright-kaggle-titanic-first-kernel,0.766
98,renegarxia-titanic-r,0.761
99,danvargg-titanic-passenger-survival,0.739
100,mohankanni-exploring-survival-on-the-titanic,0.744
101,a1112111a-neural-network-example-using-titanic-dataset,0.911
102,johnlam-titanic-dataset-and-learning-decision-trees,0.758
103,rkumar3147-exploring-survival-on-the-titanic1,0.502
104,chdhatri-exploring-survival-on-the-titanic,0.744
105,lich070192-titanic-test,0.763
106,juturu97-exploring-survival-on-the-titanic,0.744
107,overdose-titanic-basic-modelling,0.758
108,albyedw-titanic-competition,0.734
109,nshrest-titanic-a-very-first-step-54f223,0.766
110,vasuls-predictive-analysis-of-survival-rate-on-titanic,0.758
111,goblin-titanic-test,0.758
112,stevengolo-titanic-machine-learning-from-disaster,0.768
113,rogrezende-titanic-sinking-analysis,0.675
114,qianbi-titanic-randomforest,0.754
115,kazimanil-titanic-submission,0.555
116,vizcharlie-exploring-survival-on-the-titanic,0.502
117,vibhasg-exploring-survival-on-the-titanic,0.744
118,mullayilkannan-decision-tree-titanic,0.744
119,qianbi-titanic-logistic-2,0.751
120,jeetranjeet619-titanic-dataset-play-around-in-r,0.749
121,caleblau-predicting-survival-on-the-titanic,0.751
122,oldflag-exploring-survival-on-the-titanic-inr-frommegan,0.744
123,panda1023-svm-example-for-titanic,0.754
124,zakhumalo-fork-of-titanic-problem-attempt-1,0.77
125,narinder-titanic-survival-prediction,0.754
126,jprukundo-titanic-in-r-with-naive-bayes-of-mlr-package,0.751
