,0
prabhulingayya-titanic-prediction-using-logistic-regression,0.746
paulocressoni-titanic-using-stepwise-linear-regression,0.756
abhayjindal-exploring-survival-on-the-titanic,0.744
jenioai-titanic-data-analysis-rf-prediction-0-81818,0.763
artsyanka-kernel1-titanic-r,0.701
mkgiitr-titanic-survival-prediction,0.744
dukasguo-exploring-survival-on-the-titanic,0.744
balakesavan-titanicbalakesavan20160921,0.77
paulbisto-r-titanic-script-practice,0.754
prasadsawant1107-predicting-survival-on-titanic,0.758
akramsayadi-exploring-survival-on-the-titanic,0.744
jmercer187-fork-of-titanic2,0.749
sawajid-titanic-test,0.648
crisansou-titanic-automating-model-selection-using-caret,0.754
meggles-titanic-svm-submission-1-0,0.756
nashyegi-who-all-survived-the-titanic,0.773
bubblride-titanic-e1071-c-svc-five-features,0.663
youhe2482-titanic-a-very-first-step,0.766
preritsaxena-fork-of-ml-basics-on-titanic-data,0.763
cdeotte-titanic-deep-net-0-82296,0.787
shashankseth-basic-eda-and-ml-on-titanic-dataset,0.749
alamgirm-predicting-survival-on-titanic-dataset,0.727
ljfernando-titanicsurvival,0.778
delasupreme-titanic-data-analysis-rf-prediction-0-81818,0.763
divyabudale-conditional-inference-tree-model-titanic,0.756
bubblride-titanic-e1071-nu-svc,0.665
antonov-logistic-regression-for-titanic,0.766
aquilarif-explore-titanic-r,0.746
yinpatt-patrick-s-titanic,0.756
dsvijayaraghavan-vra-titanic,0.754
seanangio-predicting-titanic-survival,0.739
qianbi-titanic-nnet,0.746
arjunmalhotra-titanic,0.732
pranaytiwari-titanic-data-analysis-rf-prediction-0-81818,0.763
areebaatif-titanic,0.756
johno883-john-orr-titanic-random-forest,0.768
ablearcher-my-titanic,0.787
kabled-life-and-death-on-the-titanic,0.763
yugrao-exploring-survival-on-the-titanic,0.744
zossimov-exploring-survival-on-the-titanic,0.758
avikpaul4u-titanic-machine-learning-in-r,0.584
alejandrorivas-titanic-beginners-principiantes-espa-ol,0.756
acrespop-titanic1,0.648
zahraatashgahy-r-titanic-1,0.754
yuanwxu-exploring-survival-on-the-titanic,0.742
predact-easy-r-titanic-predictive-model,0.751
hongviet2002-survived-on-titanic-board,0.751
klashgari-titanic,0.242
abedben-exploring-survival-on-the-titanic,0.744
wendyzhang1020-exploring-survival-on-the-titanic,0.744
dralmostright-kaggle-titanic-first-kernel,0.766
danvargg-titanic-passenger-survival,0.739
johnlam-titanic-dataset-and-learning-decision-trees,0.758
