,dir,t,accuracies
0,a1112111a-neural-network-example-using-titanic-dataset,13.899517059326199,0.911
1,aabidkhursheed-titanic-day1,0.814243078231812,
2,aadishchopra-titanic-by-aadish,3.62716889381409,
3,aadishchopra-titanicaadish,2.69661903381348,
4,aaguilar13-titanic-challenge-a-smorgasbord-of-ml-models,14.099308967590302,
5,aaminnej-titanic-rf,0.9566280841827389,
6,abahl88-titanic-disaster-survival-analysis,1.8736641407012902,
7,abahl88-titanic-survival-analysis,0.0752561092376709,
8,abedben-exploring-survival-on-the-titanic,26.023470163345298,0.744
9,abedben-titanic-test,0.814640998840332,
10,abhayjindal-exploring-survival-on-the-titanic,25.7182919979095,0.744
11,abhinav15feb-huston-we-have-a-titanic,1.0274908542633099,
12,abhinavkapula-titanic-survival-prediction,1.15079402923584,
13,abhinavralhan-exploring-survival-on-the-titanic,24.251430034637497,0.744
14,abhirupalodh-titanic-survival-prediction-using-r,0.687328815460205,
15,abhisheek-titanic-v1-0,0.58716082572937,
16,abinavramesh-titanic-analysis-no-extra-features,5.47274899482727,
17,ablearcher-my-titanic,17.7939639091492,0.787
18,achristopherson-titanic-predictions,1.08285135030746,
19,acrespop-titanic1,1.7457590103149399,0.648
20,adambarnes-titanic-first-random-forest,1.96849679946899,0.77
21,adelmans-titanic-tutorial,0.21143102645873998,
22,adharshrajaram-titanic-hello-world,1.5149240493774399,
23,adistars-a-journey-through-titanic,0.191872119903564,
24,aditinandwana-an-titanic,0.59503698348999,
25,adktyakirloskar-titanicsubmmission,1.93016195297241,
26,adrian1acoran-fork-of-titanic-desastre-43370d-dfb6b4,0.197000026702881,
27,adrsok-titanic,1.34151911735535,
28,aeintngon-titanic-exploratory-analysis,12.7652201652527,0.751
29,aer503-svm-for-titanic,0.47280216217041,0.737
30,aer503-titanic-exploring-survival-and-random-forest-test,3.2499020099639906,0.751
31,agibilis-titanic-survival-prediction,2.1411030292511,
32,ahoerman-titanic,0.604533910751343,
33,aiuser-titanic-r-script-1,0.293461084365845,
34,ajisamudra-survivor-of-titanic-prediction,0.7167658805847171,
35,akash110-titanic-ml-from-diaster,53.10868406295779,
36,akramsayadi-exploring-survival-on-the-titanic,24.830050945282,0.744
37,alacerdan-a-journey-through-titanic,0.19692301750183103,
38,alaershov-titanic-r,0.610793113708496,
39,alamgirm-predicting-survival-on-titanic-dataset,3.16960501670837,0.734
40,alasdairc-titanic,0.26158499717712397,
41,albertogonzalez-titanic-ensemble-model,2.4009959697723398,
42,albyedw-titanic-competition,1.30928958654404,0.734
43,alcazar90-first-incursion-to-the-titanic-disaster-and-kaggle,1.23812913894653,
44,alediator-exploring-survival-on-the-titanic,0.6408951282501221,0.761
