"","x"
"1","Not Survived"
"2","Survived"
"3","Not Survived"
"4","Not Survived"
"5","Survived"
"6","Not Survived"
"7","Survived"
"8","Not Survived"
"9","Survived"
"10","Not Survived"
"11","Not Survived"
"12","Not Survived"
"13","Survived"
"14","Not Survived"
"15","Survived"
"16","Survived"
"17","Not Survived"
"18","Not Survived"
"19","Survived"
"20","Survived"
"21","Not Survived"
"22","Not Survived"
"23","Survived"
"24","Not Survived"
"25","Survived"
"26","Not Survived"
"27","Survived"
"28","Not Survived"
"29","Not Survived"
"30","Not Survived"
"31","Not Survived"
"32","Not Survived"
"33","Survived"
"34","Survived"
"35","Not Survived"
"36","Not Survived"
"37","Survived"
"38","Survived"
"39","Not Survived"
"40","Not Survived"
"41","Not Survived"
"42","Not Survived"
"43","Not Survived"
"44","Survived"
"45","Survived"
"46","Not Survived"
"47","Not Survived"
"48","Not Survived"
"49","Survived"
"50","Survived"
"51","Not Survived"
"52","Not Survived"
"53","Survived"
"54","Survived"
"55","Not Survived"
"56","Not Survived"
"57","Not Survived"
"58","Not Survived"
"59","Not Survived"
"60","Survived"
"61","Not Survived"
"62","Not Survived"
"63","Not Survived"
"64","Survived"
"65","Not Survived"
"66","Survived"
"67","Survived"
"68","Not Survived"
"69","Not Survived"
"70","Not Survived"
"71","Survived"
"72","Not Survived"
"73","Survived"
"74","Not Survived"
"75","Survived"
"76","Not Survived"
"77","Not Survived"
"78","Survived"
"79","Not Survived"
"80","Survived"
"81","Survived"
"82","Not Survived"
"83","Not Survived"
"84","Not Survived"
"85","Not Survived"
"86","Not Survived"
"87","Survived"
"88","Survived"
"89","Survived"
"90","Survived"
"91","Survived"
"92","Not Survived"
"93","Survived"
"94","Not Survived"
"95","Not Survived"
"96","Not Survived"
"97","Survived"
"98","Not Survived"
"99","Survived"
"100","Not Survived"
"101","Survived"
"102","Not Survived"
"103","Not Survived"
"104","Not Survived"
"105","Survived"
"106","Not Survived"
"107","Not Survived"
"108","Not Survived"
"109","Not Survived"
"110","Not Survived"
"111","Not Survived"
"112","Survived"
"113","Survived"
"114","Survived"
"115","Survived"
"116","Not Survived"
"117","Not Survived"
"118","Survived"
"119","Not Survived"
"120","Survived"
"121","Survived"
"122","Not Survived"
"123","Survived"
"124","Not Survived"
"125","Not Survived"
"126","Survived"
"127","Not Survived"
"128","Survived"
"129","Not Survived"
"130","Not Survived"
"131","Not Survived"
"132","Not Survived"
"133","Survived"
"134","Not Survived"
"135","Not Survived"
"136","Not Survived"
"137","Not Survived"
"138","Not Survived"
"139","Survived"
"140","Not Survived"
"141","Not Survived"
"142","Survived"
"143","Not Survived"
"144","Not Survived"
"145","Not Survived"
"146","Not Survived"
"147","Not Survived"
"148","Not Survived"
"149","Not Survived"
"150","Survived"
"151","Survived"
"152","Not Survived"
"153","Not Survived"
"154","Survived"
"155","Not Survived"
"156","Not Survived"
"157","Survived"
"158","Survived"
"159","Not Survived"
"160","Survived"
"161","Survived"
"162","Survived"
"163","Survived"
"164","Not Survived"
"165","Not Survived"
"166","Survived"
"167","Not Survived"
"168","Not Survived"
"169","Survived"
"170","Survived"
"171","Not Survived"
"172","Not Survived"
"173","Not Survived"
"174","Not Survived"
"175","Not Survived"
"176","Survived"
"177","Survived"
"178","Not Survived"
"179","Survived"
"180","Survived"
"181","Not Survived"
"182","Not Survived"
"183","Survived"
"184","Not Survived"
"185","Survived"
"186","Not Survived"
"187","Survived"
"188","Not Survived"
"189","Not Survived"
"190","Not Survived"
"191","Not Survived"
"192","Not Survived"
"193","Survived"
"194","Not Survived"
"195","Survived"
"196","Not Survived"
"197","Survived"
"198","Survived"
"199","Not Survived"
"200","Survived"
"201","Survived"
"202","Survived"
"203","Survived"
"204","Survived"
"205","Not Survived"
"206","Not Survived"
"207","Survived"
"208","Not Survived"
"209","Survived"
"210","Not Survived"
"211","Not Survived"
"212","Not Survived"
"213","Not Survived"
"214","Survived"
"215","Survived"
"216","Not Survived"
"217","Survived"
"218","Not Survived"
"219","Survived"
"220","Not Survived"
"221","Survived"
"222","Not Survived"
"223","Survived"
"224","Not Survived"
"225","Survived"
"226","Survived"
"227","Not Survived"
"228","Survived"
"229","Not Survived"
"230","Not Survived"
"231","Not Survived"
"232","Survived"
"233","Not Survived"
"234","Not Survived"
"235","Not Survived"
"236","Not Survived"
"237","Not Survived"
"238","Not Survived"
"239","Survived"
"240","Survived"
"241","Survived"
"242","Survived"
"243","Not Survived"
"244","Not Survived"
