,names,accuracies
0,prabhulingayya-titanic-prediction-using-logistic-regression,0.746
1,erskumars-titanic-survival-eda-and-survival-rate-prediction,0.749
2,paulocressoni-titanic-using-stepwise-linear-regression,0.756
3,abhayjindal-exploring-survival-on-the-titanic,0.744
4,jonmak-identify-travel-groups-in-titanic,0.734
5,jenioai-titanic-data-analysis-rf-prediction-0-81818,0.763
6,rayuga-exploring-survival-on-the-titanic,0.744
7,ezhilvelme-titanic-neural-network-c-4-2,0.749
8,artsyanka-kernel1-titanic-r,0.701
9,mkgiitr-titanic-survival-prediction,0.744
10,woliveira-hello-titanic,0.758
11,dukasguo-exploring-survival-on-the-titanic,0.744
12,cosentinoda12-exploring-survival-on-the-titanic-dc,0.744
13,balakesavan-titanicbalakesavan20160921,0.77
14,francoisolivier-fork-of-titanic-20,0.754
15,zahoorahmad-titanic-2nd-degree-families-and-majority-voting,0.797
16,mcliff-exploring-survival-on-the-titanic,0.754
17,francoisolivier-titanic-20,0.756
18,paulbisto-r-titanic-script-practice,0.758
19,prasadsawant1107-predicting-survival-on-titanic,0.758
20,akramsayadi-exploring-survival-on-the-titanic,0.744
21,proj20-exploring-survival-on-the-titanic,0.744
22,alma123-titanic,0.737
23,mrsheriff-exploring-survival-on-the-titanic,0.744
24,xuhuiz0918-initial-eda-and-lm-on-titanic-dataset,0.761
25,jmercer187-fork-of-titanic2,0.749
26,ianwells-titanic-simple-rf-with-name-and-age-features,0.766
27,rboimistruk-titanic-survivals-analysis,0.766
28,sawajid-titanic-test,0.648
29,meggles-titanic-svm-submission-1-0,0.756
30,nashyegi-who-all-survived-the-titanic,0.773
31,bubblride-titanic-e1071-c-svc-five-features,0.663
32,amuthand-a-titanic-unpredicted-disaster-predicted,0.766
33,tosnaldo10-titanic-challange,0.754
34,youhe2482-titanic-a-very-first-step,0.766
35,preritsaxena-fork-of-ml-basics-on-titanic-data,0.763
36,cdeotte-titanic-deep-net-0-82296,0.787
37,shashankseth-basic-eda-and-ml-on-titanic-dataset,0.749
38,alfonzo-exploring-survival-on-the-titanic,0.744
39,alamgirm-predicting-survival-on-titanic-dataset,0.727
40,supriya675-titanic-prediction-simplified-for-beginners,0.77
41,datascikrid-exploring-survival-on-the-titanic,0.744
42,lucasguarisco-exploring-survival-on-the-titanic,0.742
43,ljfernando-titanicsurvival,0.778
44,delasupreme-titanic-data-analysis-rf-prediction-0-81818,0.763
45,redroy44-tidy-titanic-script,0.77
46,timothychenallen-titanic-r-randomforest,0.751
47,gzanatta-how-i-reached-top-6-on-titanic-competition,0.754
48,anishmayaramka-the-titanic-datset,0.744
49,aturner-exploring-survival-on-the-titanic,0.744
50,divyabudale-conditional-inference-tree-model-titanic,0.756
51,bonesaw98616-exploring-survival-on-the-titanic,0.742
52,bubblride-titanic-e1071-nu-svc,0.665
53,stevencahill-titanic-machine-learning-from-disaster,0.744
54,antonov-logistic-regression-for-titanic,0.766
55,srikarnamburu-exploring-survival-on-the-titanic,0.744
56,aquilarif-explore-titanic-r,0.746
57,yinpatt-patrick-s-titanic,0.756
58,metal32-exploring-survival-on-the-titanic,0.744
59,fertueros-exploring-survival-on-the-titanic,0.744
60,dsvijayaraghavan-vra-titanic,0.749
61,seanangio-predicting-titanic-survival,0.739
62,qianbi-titanic-nnet,0.742
63,alwortman-titanic-test-script,0.754
64,vincentlugat-titanic-data-analysis-rf-prediction-0-81818,0.763
65,arjunmalhotra-titanic,0.732
66,pranaytiwari-titanic-data-analysis-rf-prediction-0-81818,0.763
67,vikramatjob-exploring-survival-on-the-titanic-var2,0.744
68,areebaatif-titanic,0.756
69,ambikanair-exploring-survival-on-the-titanic,0.744
70,johno883-john-orr-titanic-random-forest,0.768
71,ablearcher-my-titanic,0.787
72,uvcelokesh-titanic-survivor-analysis-different-perspectives,0.749
73,tavoosi-predicting-survival-on-the-titanic-with-rf-lr-nb,0.77
74,fredman-titanic-barebones-benchmark-r,0.756
75,oreddo-exploring-survival-on-the-titanic,0.742
76,kabled-life-and-death-on-the-titanic,0.763
77,yugrao-exploring-survival-on-the-titanic,0.744
78,zossimov-exploring-survival-on-the-titanic,0.758
79,kogamstk-exploring-survival-on-the-titanic,0.744
80,ushasri-titanic-2nd-degree-families-and-majority-voting,0.797
81,avikpaul4u-titanic-machine-learning-in-r,0.581
82,alejandrorivas-titanic-beginners-principiantes-espa-ol,0.744
83,acrespop-titanic1,0.648
84,ryukojin-exploring-survival-on-the-titanic,0.744
85,krupan-exploring-survival-on-the-titanic,0.746
86,tobybot11-toby-s-titanic-analysis,0.758
87,zahraatashgahy-r-titanic-1,0.754
88,yuanwxu-exploring-survival-on-the-titanic,0.742
89,predact-easy-r-titanic-predictive-model,0.758
90,hongviet2002-survived-on-titanic-board,0.751
91,klashgari-titanic,0.242
92,abedben-exploring-survival-on-the-titanic,0.744
93,grapple-exploring-survival-on-the-titanic,0.744
94,datadatum-exploring-survival-on-the-titanic,0.744
95,wendyzhang1020-exploring-survival-on-the-titanic,0.744
96,dralmostright-kaggle-titanic-first-kernel,0.766
97,renegarxia-titanic-r,0.761
98,danvargg-titanic-passenger-survival,0.739
99,mohankanni-exploring-survival-on-the-titanic,0.744
100,a1112111a-neural-network-example-using-titanic-dataset,0.911
101,johnlam-titanic-dataset-and-learning-decision-trees,0.758
102,rkumar3147-exploring-survival-on-the-titanic1,0.502
103,chdhatri-exploring-survival-on-the-titanic,0.744
104,lich070192-titanic-test,0.763
105,juturu97-exploring-survival-on-the-titanic,0.744
106,overdose-titanic-basic-modelling,0.758
107,albyedw-titanic-competition,0.734
108,nshrest-titanic-a-very-first-step-54f223,0.77
109,vasuls-predictive-analysis-of-survival-rate-on-titanic,0.758
110,goblin-titanic-test,0.758
111,stevengolo-titanic-machine-learning-from-disaster,0.768
112,rogrezende-titanic-sinking-analysis,0.675
113,qianbi-titanic-randomforest,0.746
114,kazimanil-titanic-submission,0.555
115,vizcharlie-exploring-survival-on-the-titanic,0.5
116,vibhasg-exploring-survival-on-the-titanic,0.744
117,mullayilkannan-decision-tree-titanic,0.744
118,qianbi-titanic-logistic-2,0.749
119,jeetranjeet619-titanic-dataset-play-around-in-r,0.749
120,caleblau-predicting-survival-on-the-titanic,0.751
121,oldflag-exploring-survival-on-the-titanic-inr-frommegan,0.744
122,panda1023-svm-example-for-titanic,0.754
123,zakhumalo-fork-of-titanic-problem-attempt-1,0.77
124,narinder-titanic-survival-prediction,0.754
125,jprukundo-titanic-in-r-with-naive-bayes-of-mlr-package,0.751
126,brirush-randomforest-implementation-of-titanic,0.768
127,zhaotianjing-titanic,0.648
