,0
prabhulingayya-titanic-prediction-using-logistic-regression,0.746
erskumars-titanic-survival-eda-and-survival-rate-prediction,0.749
paulocressoni-titanic-using-stepwise-linear-regression,0.756
abhayjindal-exploring-survival-on-the-titanic,0.744
jonmak-identify-travel-groups-in-titanic,0.734
jenioai-titanic-data-analysis-rf-prediction-0-81818,0.763
rayuga-exploring-survival-on-the-titanic,0.744
ezhilvelme-titanic-neural-network-c-4-2,0.749
artsyanka-kernel1-titanic-r,0.701
mkgiitr-titanic-survival-prediction,0.744
woliveira-hello-titanic,0.758
dukasguo-exploring-survival-on-the-titanic,0.744
cosentinoda12-exploring-survival-on-the-titanic-dc,0.744
balakesavan-titanicbalakesavan20160921,0.77
francoisolivier-fork-of-titanic-20,0.754
zahoorahmad-titanic-2nd-degree-families-and-majority-voting,0.797
mcliff-exploring-survival-on-the-titanic,0.754
francoisolivier-titanic-20,0.756
paulbisto-r-titanic-script-practice,0.758
prasadsawant1107-predicting-survival-on-titanic,0.758
akramsayadi-exploring-survival-on-the-titanic,0.744
proj20-exploring-survival-on-the-titanic,0.744
alma123-titanic,0.737
mrsheriff-exploring-survival-on-the-titanic,0.744
xuhuiz0918-initial-eda-and-lm-on-titanic-dataset,0.761
jmercer187-fork-of-titanic2,0.749
ianwells-titanic-simple-rf-with-name-and-age-features,0.766
rboimistruk-titanic-survivals-analysis,0.766
sawajid-titanic-test,0.648
meggles-titanic-svm-submission-1-0,0.756
nashyegi-who-all-survived-the-titanic,0.773
bubblride-titanic-e1071-c-svc-five-features,0.663
amuthand-a-titanic-unpredicted-disaster-predicted,0.766
tosnaldo10-titanic-challange,0.754
youhe2482-titanic-a-very-first-step,0.766
preritsaxena-fork-of-ml-basics-on-titanic-data,0.763
cdeotte-titanic-deep-net-0-82296,0.787
shashankseth-basic-eda-and-ml-on-titanic-dataset,0.749
alfonzo-exploring-survival-on-the-titanic,0.744
alamgirm-predicting-survival-on-titanic-dataset,0.727
supriya675-titanic-prediction-simplified-for-beginners,0.77
datascikrid-exploring-survival-on-the-titanic,0.744
lucasguarisco-exploring-survival-on-the-titanic,0.742
ljfernando-titanicsurvival,0.778
delasupreme-titanic-data-analysis-rf-prediction-0-81818,0.763
redroy44-tidy-titanic-script,0.77
timothychenallen-titanic-r-randomforest,0.751
gzanatta-how-i-reached-top-6-on-titanic-competition,0.754
anishmayaramka-the-titanic-datset,0.744
aturner-exploring-survival-on-the-titanic,0.744
divyabudale-conditional-inference-tree-model-titanic,0.756
bonesaw98616-exploring-survival-on-the-titanic,0.742
bubblride-titanic-e1071-nu-svc,0.665
stevencahill-titanic-machine-learning-from-disaster,0.744
antonov-logistic-regression-for-titanic,0.766
srikarnamburu-exploring-survival-on-the-titanic,0.744
aquilarif-explore-titanic-r,0.746
yinpatt-patrick-s-titanic,0.756
metal32-exploring-survival-on-the-titanic,0.744
fertueros-exploring-survival-on-the-titanic,0.744
dsvijayaraghavan-vra-titanic,0.749
seanangio-predicting-titanic-survival,0.739
qianbi-titanic-nnet,0.742
alwortman-titanic-test-script,0.754
vincentlugat-titanic-data-analysis-rf-prediction-0-81818,0.763
arjunmalhotra-titanic,0.732
pranaytiwari-titanic-data-analysis-rf-prediction-0-81818,0.763
vikramatjob-exploring-survival-on-the-titanic-var2,0.744
areebaatif-titanic,0.756
ambikanair-exploring-survival-on-the-titanic,0.744
johno883-john-orr-titanic-random-forest,0.768
ablearcher-my-titanic,0.787
uvcelokesh-titanic-survivor-analysis-different-perspectives,0.749
tavoosi-predicting-survival-on-the-titanic-with-rf-lr-nb,0.77
fredman-titanic-barebones-benchmark-r,0.756
oreddo-exploring-survival-on-the-titanic,0.742
kabled-life-and-death-on-the-titanic,0.763
yugrao-exploring-survival-on-the-titanic,0.744
zossimov-exploring-survival-on-the-titanic,0.758
kogamstk-exploring-survival-on-the-titanic,0.744
ushasri-titanic-2nd-degree-families-and-majority-voting,0.797
avikpaul4u-titanic-machine-learning-in-r,0.581
alejandrorivas-titanic-beginners-principiantes-espa-ol,0.744
acrespop-titanic1,0.648
ryukojin-exploring-survival-on-the-titanic,0.744
krupan-exploring-survival-on-the-titanic,0.746
tobybot11-toby-s-titanic-analysis,0.758
zahraatashgahy-r-titanic-1,0.754
yuanwxu-exploring-survival-on-the-titanic,0.742
predact-easy-r-titanic-predictive-model,0.758
hongviet2002-survived-on-titanic-board,0.751
klashgari-titanic,0.242
abedben-exploring-survival-on-the-titanic,0.744
grapple-exploring-survival-on-the-titanic,0.744
datadatum-exploring-survival-on-the-titanic,0.744
wendyzhang1020-exploring-survival-on-the-titanic,0.744
dralmostright-kaggle-titanic-first-kernel,0.766
renegarxia-titanic-r,0.761
danvargg-titanic-passenger-survival,0.739
mohankanni-exploring-survival-on-the-titanic,0.744
a1112111a-neural-network-example-using-titanic-dataset,0.911
johnlam-titanic-dataset-and-learning-decision-trees,0.758
rkumar3147-exploring-survival-on-the-titanic1,0.502
chdhatri-exploring-survival-on-the-titanic,0.744
lich070192-titanic-test,0.763
juturu97-exploring-survival-on-the-titanic,0.744
overdose-titanic-basic-modelling,0.758
albyedw-titanic-competition,0.734
nshrest-titanic-a-very-first-step-54f223,0.77
vasuls-predictive-analysis-of-survival-rate-on-titanic,0.758
goblin-titanic-test,0.758
stevengolo-titanic-machine-learning-from-disaster,0.768
rogrezende-titanic-sinking-analysis,0.675
qianbi-titanic-randomforest,0.746
kazimanil-titanic-submission,0.555
vizcharlie-exploring-survival-on-the-titanic,0.5
vibhasg-exploring-survival-on-the-titanic,0.744
mullayilkannan-decision-tree-titanic,0.744
qianbi-titanic-logistic-2,0.749
jeetranjeet619-titanic-dataset-play-around-in-r,0.749
caleblau-predicting-survival-on-the-titanic,0.751
oldflag-exploring-survival-on-the-titanic-inr-frommegan,0.744
panda1023-svm-example-for-titanic,0.754
zakhumalo-fork-of-titanic-problem-attempt-1,0.77
narinder-titanic-survival-prediction,0.754
jprukundo-titanic-in-r-with-naive-bayes-of-mlr-package,0.751
brirush-randomforest-implementation-of-titanic,0.768
zhaotianjing-titanic,0.648
lashkare-simple-yet-effective-titanic-solution,0.766
econdata-titanic-datasets-ml-with-r-journey-to-top-1,0.9
retrospectprospect-titanic-machine-learning-from-eda-to-xgb,0.763
terfilip-titanic,0.763
caliphcheng-titanic-analysis-using-r,0.758
ccheng2016-titanic-survival,0.744
mmaguero-titanic-majority-vote-of-ridge-rf-and-gbm,0.758
biohazzzard-titanic-with-tidyverse-and-caret,0.746
brirush-naive-bayes-for-titanic,0.761
ammara-titanic-competition-using-boosting,0.763
amodi8-titanic-exploring-survival-using-machine-learning,0.744
monikapeteva-who-all-survived-the-titanic-3b45d7,0.773
odujokod-exploring-survival-on-the-titanic,0.744
pranavsid-analyzing-the-titanic-disaster,0.768
srikanthnuka-titanic-not-all-family-specified-on-boarded,0.722
cardoso-titanic-women-and-children-first,0.751
alexgomes3-titanic-with-r-datacamp-tutorial,0.754
deltaforce126-titanic-randomforest,0.763
rivinwita-exploring-survival-on-the-titanic-test,0.744
pengelinliu-exploring-survival-on-the-titanic-peng,0.744
wjsutton-exploring-surviving-the-titanic,0.77
garciparedes-titanic-getting-started,0.756
domini-titanic-data-exploration-and-modelling,0.742
dylanmj-exploring-survival-on-the-titanic,0.744
pradeeptripathi-prediction-of-titanic-survival-using-random-forest,0.751
thilakshasilva-predicting-titanic-survival-using-five-algorithms,0.737
alexandrakp-exploring-survival-on-the-titanic,0.744
lukeschmerold-exploring-survival-on-the-titanic,0.746
turntrout-titanic-data-exploration,0.763
rahul169-titanic-prediction,0.129
lisastuart-exploring-survival-on-the-titanic,0.749
petrodatatoenergy-exploring-survival-on-the-titanic,0.744
manskj-machine-learning-and-titanic,0.763
ronchi-project-titanic,0.768
djohnbar-fork-of-titanic-rf-w-titles,0.756
kikishmiki-titanic-passenger-survival-prediction,0.766
