,dir,accuracies,packsRaw
0,prabhulingayya-titanic-prediction-using-logistic-regression,0.766,"{'package:base': ['as.factor', 'gsub', 'is.na', 'mean', 'nrow', 'rbind', 'rep', 'round', 'summary', 'which'], 'package:stats': ['binomial', 'glm', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
1,erskumars-titanic-survival-eda-and-survival-rate-prediction,0.769,"{'package:base': ['as.data.frame', 'as.numeric', 'c', 'colnames', 'data.frame', 'duplicated', 'factor', 'gsub', 'ifelse', 'is.na', 'length', 'library', 'ncol', 'nrow', 'paste0', 'print', 'prop.table', 'return', 'sapply', 'seq', 'subset', 'sum', 'summary', 'table', 'which'], 'package:dplyr': ['funs', 'summarise_all'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_boxplot', 'geom_text', 'ggplot', 'labs', 'position_dodge', 'scale_y_continuous'], 'package:rpart': ['rpart'], 'package:stats': ['median', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
2,paulocressoni-titanic-using-stepwise-linear-regression,0.776,"{'character(0)': ['fill_age_by_title'], 'package:base': ['as.character', 'as.factor', 'as.numeric', 'c', 'data.frame', 'gsub', 'is.na', 'library', 'mean', 'round', 'sub', 'summary'], 'package:MASS': ['stepAIC'], 'package:stats': ['lm', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
3,abhayjindal-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
4,jonmak-identify-travel-groups-in-titanic,0.754,"{'character(0)': ['`:=`'], 'package:base': ['as.character', 'as.factor', 'as.integer', 'as.logical', 'as.numeric', 'c', 'data.frame', 'grepl', 'gsub', 'ifelse', 'is.na', 'library', 'list', 'match', 'max', 'mean', 'merge', 'sapply', 'strsplit', 'substr', 'sum', 'system'], 'package:caret': ['train', 'trainControl'], 'package:data.table': ['fread'], 'package:ggplot2': ['aes', 'facet_grid', 'geom_bar', 'geom_density', 'geom_jitter', 'geom_line', 'geom_violin', 'ggplot', 'scale_x_continuous'], 'package:stats': ['poly', 'predict'], 'package:stringr': ['str_extract_all'], 'package:utils': ['write.csv']}"
5,jenioai-titanic-data-analysis-rf-prediction-0-81818,0.783,"{'c(""package:plyr"", ""package:dplyr"")': ['desc', 'mutate'], 'package:base': ['apply', 'as.integer', 'as.numeric', 'c', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'list', 'mean', 'paste0', 'print', 'rep', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'summary', 'suppressMessages', 'table', 'tapply'], 'package:corrplot': ['corrplot'], 'package:dplyr': ['bind_rows', 'dense_rank'], 'package:ggplot2': ['aes', 'coord_flip', 'element_blank', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_density', 'geom_histogram', 'geom_jitter', 'geom_text', 'geom_vline', 'ggplot', 'ggtitle', 'labs', 'scale_fill_discrete', 'scale_x_continuous', 'theme', 'xlab', 'ylab'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['legend', 'mosaicplot', 'plot'], 'package:grDevices': ['hcl'], 'package:plyr': ['revalue'], 'package:randomForest': ['importance', 'randomForest', 'varImpPlot'], 'package:scales': ['dollar_format'], 'package:stats': ['aggregate', 'cor', 'median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
6,rayuga-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
7,ezhilvelme-titanic-neural-network-c-4-2,0.769,"{'c(""package:neuralnet"", ""package:dplyr"")': ['compute'], 'package:base': ['as.factor', 'c', 'data.frame', 'gsub', 'ifelse', 'is.na', 'library', 'scale', 'table'], 'package:dplyr': ['bind_rows'], 'package:neuralnet': ['neuralnet'], 'package:stats': ['median', 'model.matrix'], 'package:utils': ['read.csv', 'write.csv']}"
8,artsyanka-kernel1-titanic-r,0.721,"{'package:base': ['as.character', 'as.numeric', 'c', 'cbind', 'colnames', 'factor', 'ifelse', 'is.na', 'library', 'mean', 'scale', 'set.seed', 'summary', 'table'], 'package:randomForest': ['randomForest'], 'package:stats': ['ave', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
9,mkgiitr-titanic-survival-prediction,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'c(""package:mice"", ""package:tidyr"")': ['complete'], 'package:base': ['apply', 'as.factor', 'c', 'class', 'data.frame', 'factor', 'getwd', 'gsub', 'is.na', 'lapply', 'length', 'library', 'list.files', 'max', 'mean', 'min', 'names', 'paste', 'return', 'sapply', 'set.seed', 'strsplit', 'sum', 't', 'table', 'unique'], 'package:dplyr': ['bind_rows'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_hline', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'par'], 'package:mice': ['mice'], 'package:randomForest': ['randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'sd'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
10,woliveira-hello-titanic,0.778,"{'package:base': ['c', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'list.files', 'mean', 'nrow', 'round', 'sample', 'set.seed', 'sum', 'summary', 'table'], 'package:dplyr': ['bind_rows', 'glimpse', 'group_by', 'n', 'select', 'summarise'], 'package:ggplot2': ['aes', 'geom_bar', 'ggplot'], 'package:randomForest': ['randomForest'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'write.csv']}"
11,dukasguo-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
12,cosentinoda12-exploring-survival-on-the-titanic-dc,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
13,balakesavan-titanicbalakesavan20160921,0.79,"{'package:base': ['as.data.frame', 'as.numeric', 'c', 'colnames', 'ifelse', 'is.na', 'library', 'mean', 'summary', 'which'], 'package:caret': ['confusionMatrix'], 'package:stats': ['binomial', 'glm', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
