Name,Accuracy,Functions,Packages,Runtime,Functions_by_users,Copy_of,most_similar,index_of_similarity,raw_json
prabhulingayya-titanic-prediction-using-logistic-regression,0.746,"['as.factor', 'gsub', 'is.na', 'mean', 'nrow', 'rbind', 'rep', 'round', 'summary', 'which', 'binomial', 'glm', 'predict', 'read.csv', 'str', 'write.csv']",['base'],0.34487295150756797,"['gsub', 'rbind', 'nrow', 'predict', 'write.csv', 'mean', 'read.csv', 'binomial', 'as.factor', 'summary', 'which', 'round', 'rep', 'str', 'is.na', 'glm']",[],"['cnusapbo-titanic-r-code', 'joelweiss-titanic-data-r', 'goblin-titanic-test', 'garciparedes-titanic-getting-started', 'jacekpardyak-mytitanicscript', 'alma123-titanic', 'tsfitz-titanic', 'fpsawicki-eda-and-prediction-on-titanic-dataset', 'mustfkeskin-titanic-xgboost', 'econdata-titanic-datasets-ml-with-r-journey-to-top-1']","[0.9988202265519232, 0.5657821282835571, 0.4979576347946317, 0.3897911766565797, 0.3863840900846755, 0.3767906743505642, 0.37005216678140546, 0.3639732168396007, 0.3375602115842577, 0.30711875923594495]","{'package:base': ['as.factor', 'gsub', 'is.na', 'mean', 'nrow', 'rbind', 'rep', 'round', 'summary', 'which'], 'package:stats': ['binomial', 'glm', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
erskumars-titanic-survival-eda-and-survival-rate-prediction,0.749,"['as.data.frame', 'as.numeric', 'c', 'colnames', 'data.frame', 'duplicated', 'factor', 'gsub', 'ifelse', 'is.na', 'length', 'library', 'ncol', 'nrow', 'paste0', 'print', 'prop.table', 'return', 'sapply', 'seq', 'subset', 'sum', 'summary', 'table', 'which', 'funs', 'summarise_all', 'aes', 'geom_bar', 'geom_boxplot', 'geom_text', 'ggplot', 'labs', 'position_dodge', 'scale_y_continuous', 'rpart', 'median', 'predict', 'head', 'read.csv', 'str', 'write.csv']","['dplyr', 'ggplot2', 'rpart', 'randomForest', 'base']",2.1178131103515603,"['labs', 'nrow', 'geom_text', 'median', 'which', 'is.na', 'duplicated', 'subset', 'geom_boxplot', 'print', 'ncol', 'prop.table', 'summarise_all', 'rpart', 'summary', 'sapply', 'str', 'gsub', 'factor', 'colnames', 'position_dodge', 'geom_bar', 'length', 'read.csv', 'paste0', 'table', 'return', 'as.data.frame', 'scale_y_continuous', 'c', 'aes', 'as.numeric', 'ifelse', 'sum', 'funs', 'predict', 'seq', 'write.csv', 'data.frame', 'ggplot', 'head', 'library']",[],"['erskumars-titanic-survival-eda-and-survival-rate-prediction', 'brirush-randomforest-implementation-of-titanic', 'shridhar1991-randomforest-implementation-of-titanic', 'devanshugupta27-predicting-the-titanic-survival-rate', 'liudj2008-fork-of-titanic', 'liudj2008-titanic', 'ezhilvelme-titanic-neural-network-c-4-2', 'tobybot11-toby-s-titanic-analysis', 'jacekpardyak-mytitanicscript', 'annafreydenzon-titanic-machine-learning-from-disaster']","[0.9999999999999998, 0.4321551529106232, 0.4321551529106232, 0.4256770990479181, 0.415972810957442, 0.41561145287783335, 0.40030060716677573, 0.3993499308708529, 0.39469430042459935, 0.39327874021202414]","{'package:base': ['as.data.frame', 'as.numeric', 'c', 'colnames', 'data.frame', 'duplicated', 'factor', 'gsub', 'ifelse', 'is.na', 'length', 'library', 'ncol', 'nrow', 'paste0', 'print', 'prop.table', 'return', 'sapply', 'seq', 'subset', 'sum', 'summary', 'table', 'which'], 'package:dplyr': ['funs', 'summarise_all'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_boxplot', 'geom_text', 'ggplot', 'labs', 'position_dodge', 'scale_y_continuous'], 'package:rpart': ['rpart'], 'package:stats': ['median', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
paulocressoni-titanic-using-stepwise-linear-regression,0.756,"['user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'user defined', 'as.character', 'as.factor', 'as.numeric', 'c', 'data.frame', 'gsub', 'is.na', 'library', 'mean', 'round', 'sub', 'summary', 'stepAIC', 'lm', 'predict', 'read.csv', 'write.csv']","['MASS', 'ggplot2', 'ggthemes', 'base']",0.9562289714813229,"['gsub', 'as.numeric', 'predict', 'sub', 'mean', 'write.csv', 'data.frame', 'stepAIC', 'read.csv', 'lm', 'as.factor', 'user defined', 'library', 'as.character', 'round', 'summary', 'c', 'is.na']",[],"['annafreydenzon-titanic-machine-learning-from-disaster', 'nithishthirmul-titanic-data-test1', 'ezhilvelme-titanic-neural-network-c-4-2', 'liudj2008-fork-of-titanic', 'liudj2008-titanic', 'jacekpardyak-mytitanicscript', 'brirush-randomforest-implementation-of-titanic', 'shridhar1991-randomforest-implementation-of-titanic', 'anweshaghosh-titanic-forkofmultiplescripts-r', 'antonov-logistic-regression-for-titanic']","[0.5025714535073201, 0.4914360717345071, 0.471708446905735, 0.46533235616821783, 0.46392335637382054, 0.4606588131184794, 0.45865733527266533, 0.45865733527266533, 0.444338742987808, 0.382965415757331]","{'character(0)': ['fill_age_by_title'], 'package:base': ['as.character', 'as.factor', 'as.numeric', 'c', 'data.frame', 'gsub', 'is.na', 'library', 'mean', 'round', 'sub', 'summary'], 'package:MASS': ['stepAIC'], 'package:stats': ['lm', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
abhayjindal-exploring-survival-on-the-titanic,0.744,"['filter', 'as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table', 'bind_rows', 'dense_rank', 'desc', 'mutate', 'aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous', 'theme_few', 'hist', 'legend', 'mosaicplot', 'par', 'plot', 'complete', 'md.pattern', 'mice', 'importance', 'randomForest', 'dollar_format', 'median', 'predict', 'reorder', 'read.csv', 'str', 'write.csv']","['ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",25.7182919979095,"['labs', 'complete', 'geom_text', 'median', 'lapply', 'md.pattern', 'coord_flip', 'cat', 'dense_rank', 'str', 'is.na', 'names', 'geom_boxplot', 'scale_x_continuous', 'theme_few', 'as.factor', 'filter', 'sapply', 'round', 'geom_histogram', 'hist', 'mosaicplot', 'geom_hline', 'desc', 'set.seed', 'gsub', 'mice', 'factor', 'colnames', 'importance', 'geom_bar', 'read.csv', 'paste0', 'table', 'par', 'randomForest', 'scale_y_continuous', 'row.names', 'c', 'aes', 'mutate', 'paste', 'geom_vline', 'sum', 'plot', 'legend', 'dollar_format', 'predict', 'reorder', 'bind_rows', 'write.csv', 'data.frame', 'nlevels', 'strsplit', 'ggplot', 'geom_density', 'library', 'facet_grid']",[],"['rayuga-exploring-survival-on-the-titanic', 'dukasguo-exploring-survival-on-the-titanic', 'cosentinoda12-exploring-survival-on-the-titanic-dc', 'akramsayadi-exploring-survival-on-the-titanic', 'proj20-exploring-survival-on-the-titanic', 'mrsheriff-exploring-survival-on-the-titanic', 'alfonzo-exploring-survival-on-the-titanic', 'datascikrid-exploring-survival-on-the-titanic', 'anishmayaramka-the-titanic-datset', 'aturner-exploring-survival-on-the-titanic']","[0.9991891736418617, 0.9991891736418617, 0.9991891736418617, 0.9991891736418617, 0.9991891736418617, 0.9991891736418617, 0.9991891736418617, 0.9991891736418617, 0.9991891736418617, 0.9991891736418617]","{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
jonmak-identify-travel-groups-in-titanic,0.734,"['user defined', 'user defined', 'user defined', 'user defined', 'as.character', 'as.factor', 'as.integer', 'as.logical', 'as.numeric', 'c', 'data.frame', 'grepl', 'gsub', 'ifelse', 'is.na', 'library', 'list', 'match', 'max', 'mean', 'merge', 'sapply', 'strsplit', 'substr', 'sum', 'system', 'train', 'trainControl', 'fread', 'aes', 'facet_grid', 'geom_bar', 'geom_density', 'geom_jitter', 'geom_line', 'geom_violin', 'ggplot', 'scale_x_continuous', 'poly', 'predict', 'str_extract_all', 'write.csv']","['ggplot2', 'readr', 'data.table', 'stringr', 'caret', 'base']",16.105898141861,"['list', 'mean', 'as.logical', 'merge', 'geom_jitter', 'as.character', 'is.na', 'scale_x_continuous', 'poly', 'as.factor', 'sapply', 'gsub', 'match', 'as.integer', 'max', 'geom_bar', 'train', 'c', 'fread', 'aes', 'str_extract_all', 'as.numeric', 'ifelse', 'sum', 'geom_violin', 'predict', 'write.csv', 'facet_grid', 'geom_line', 'data.frame', 'grepl', 'strsplit', 'ggplot', 'geom_density', 'substr', 'user defined', 'library', 'trainControl', 'system']",[],"['somtom-titanic-random-icebergs', 'rtreit-kaggle-titanic-tutorial', 'peggy88-titanic-data-eda-by-peggy', 'emj777-decision-tree-titanic-r', 'dsvijayaraghavan-vra-titanic', 'rjhere23-predictive-analysis-of-survival-rate-on-titanic', 'kunaphas-predictive-analysis-of-survival-rate-on-titanic', 'vasuls-predictive-analysis-of-survival-rate-on-titanic', 'beiqiwang-predictive-analysis-of-survival-rate-on-titanic', 'waithira-titanic-analysis-with-r']","[0.6239748114808571, 0.2672313419911298, 0.1705844796712395, 0.15048909084006873, 0.1103361700644944, 0.10630386943882347, 0.10630386943882347, 0.10550110723200941, 0.10550110723200941, 0.10353025452078385]","{'character(0)': ['`:=`'], 'package:base': ['as.character', 'as.factor', 'as.integer', 'as.logical', 'as.numeric', 'c', 'data.frame', 'grepl', 'gsub', 'ifelse', 'is.na', 'library', 'list', 'match', 'max', 'mean', 'merge', 'sapply', 'strsplit', 'substr', 'sum', 'system'], 'package:caret': ['train', 'trainControl'], 'package:data.table': ['fread'], 'package:ggplot2': ['aes', 'facet_grid', 'geom_bar', 'geom_density', 'geom_jitter', 'geom_line', 'geom_violin', 'ggplot', 'scale_x_continuous'], 'package:stats': ['poly', 'predict'], 'package:stringr': ['str_extract_all'], 'package:utils': ['write.csv']}"
jenioai-titanic-data-analysis-rf-prediction-0-81818,0.763,"['user defined', 'user defined', 'user defined', 'apply', 'as.integer', 'as.numeric', 'c', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'list', 'mean', 'paste0', 'print', 'rep', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'summary', 'suppressMessages', 'table', 'tapply', 'legend', 'mosaicplot', 'plot', 'hcl', 'importance', 'randomForest', 'varImpPlot', 'aggregate', 'cor', 'median', 'predict', 'reorder', 'read.csv', 'str', 'write.csv']","['randomForest', 'base']",3.5781230926513703,"['list', 'mean', 'median', 'hcl', 'cor', 'is.na', 'print', 'summary', 'sapply', 'round', 'rep', 'mosaicplot', 'importance', 'varImpPlot', 'str', 'set.seed', 'gsub', 'factor', 'as.integer', 'colnames', 'aggregate', 'apply', 'read.csv', 'paste0', 'suppressMessages', 'table', 'randomForest', 'row.names', 'c', 'as.numeric', 'sum', 'plot', 'legend', 'predict', 'reorder', 'write.csv', 'data.frame', 'strsplit', 'tapply', 'user defined', 'library']",[],"['delasupreme-titanic-data-analysis-rf-prediction-0-81818', 'pranaytiwari-titanic-data-analysis-rf-prediction-0-81818', 'imendoza-titanic-rf-prediction', 'vincentlugat-titanic-data-analysis-rf-prediction-0-81818', 'ashutoshds-titanic-rf-prediction-0-81818', 'kapillehar-titanic-rf-prediction-0-81818', 'vikasht34-titanic-rf-prediction-0-81818', 'hemingwei-titanic-r-solution-from-megan-risdal', 'yugrao-exploring-survival-on-the-titanic', 'yugrao-titanic-n']","[0.9801339202416555, 0.9801339202416555, 0.9801339202416555, 0.9800726515992314, 0.8381112118012799, 0.8185926607440859, 0.8185926607440859, 0.6764882441506178, 0.6759936545395816, 0.6759936545395816]","{'character(0)': ['aes', 'bind_rows', 'coord_flip', 'corrplot', 'dense_rank', 'desc', 'dollar_format', 'element_blank', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_density', 'geom_histogram', 'geom_jitter', 'geom_text', 'geom_vline', 'ggplot', 'ggtitle', 'labs', 'mutate', 'revalue', 'scale_fill_discrete', 'scale_x_continuous', 'theme', 'theme_few', 'xlab', 'ylab'], 'package:base': ['apply', 'as.integer', 'as.numeric', 'c', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'list', 'mean', 'paste0', 'print', 'rep', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'summary', 'suppressMessages', 'table', 'tapply'], 'package:graphics': ['legend', 'mosaicplot', 'plot'], 'package:grDevices': ['hcl'], 'package:randomForest': ['importance', 'randomForest', 'varImpPlot'], 'package:stats': ['aggregate', 'cor', 'median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
rayuga-exploring-survival-on-the-titanic,0.744,"['filter', 'as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table', 'bind_rows', 'dense_rank', 'desc', 'mutate', 'aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous', 'theme_few', 'hist', 'legend', 'mosaicplot', 'par', 'plot', 'complete', 'md.pattern', 'mice', 'importance', 'randomForest', 'dollar_format', 'median', 'predict', 'reorder', 'read.csv', 'str', 'write.csv']","['ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",24.554289102554304,"['labs', 'complete', 'geom_text', 'median', 'lapply', 'md.pattern', 'coord_flip', 'cat', 'dense_rank', 'str', 'is.na', 'names', 'geom_boxplot', 'scale_x_continuous', 'theme_few', 'as.factor', 'filter', 'sapply', 'round', 'geom_histogram', 'hist', 'mosaicplot', 'geom_hline', 'desc', 'set.seed', 'gsub', 'mice', 'factor', 'colnames', 'importance', 'geom_bar', 'read.csv', 'paste0', 'table', 'par', 'randomForest', 'scale_y_continuous', 'row.names', 'c', 'aes', 'mutate', 'paste', 'geom_vline', 'sum', 'plot', 'legend', 'dollar_format', 'predict', 'reorder', 'bind_rows', 'write.csv', 'data.frame', 'nlevels', 'strsplit', 'ggplot', 'geom_density', 'library', 'facet_grid']","['dukasguo-exploring-survival-on-the-titanic', 'cosentinoda12-exploring-survival-on-the-titanic-dc', 'akramsayadi-exploring-survival-on-the-titanic', 'proj20-exploring-survival-on-the-titanic', 'mrsheriff-exploring-survival-on-the-titanic', 'alfonzo-exploring-survival-on-the-titanic', 'datascikrid-exploring-survival-on-the-titanic', 'anishmayaramka-the-titanic-datset', 'aturner-exploring-survival-on-the-titanic', 'srikarnamburu-exploring-survival-on-the-titanic', 'metal32-exploring-survival-on-the-titanic', 'fertueros-exploring-survival-on-the-titanic', 'ambikanair-exploring-survival-on-the-titanic', 'kogamstk-exploring-survival-on-the-titanic', 'ryukojin-exploring-survival-on-the-titanic', 'grapple-exploring-survival-on-the-titanic', 'datadatum-exploring-survival-on-the-titanic', 'chdhatri-exploring-survival-on-the-titanic', 'juturu97-exploring-survival-on-the-titanic', 'vibhasg-exploring-survival-on-the-titanic', 'odujokod-exploring-survival-on-the-titanic', 'rivinwita-exploring-survival-on-the-titanic-test', 'pengelinliu-exploring-survival-on-the-titanic-peng', 'dylanmj-exploring-survival-on-the-titanic', 'alexandrakp-exploring-survival-on-the-titanic', 'petrodatatoenergy-exploring-survival-on-the-titanic', 'abhinavralhan-exploring-survival-on-the-titanic', 'felixhalim-exploring-survival-on-the-titanic', 'phoanghuong86-exploring-survival-on-the-titanic', 'mchatham-exploring-survival-on-the-titanic01', 'shridhar1991-exploring-survival-on-the-titanic', 'leedongkyu-exploring-survival-on-the-titanic', 'krietallo64-exploring-survival-on-the-titanic', 'dataninja2014-exploring-survival-on-the-titanic', 'dasbeste-exploring-survival-on-the-titanic', 'daiearth22-exploring-survival-on-the-titanic', 'virgodata-exploring-survival-on-the-titanic', 'prachimalusare-exploring-survival-on-the-titanic', 'rmenendezm-exploring-survival-on-the-titanic', 'sidhere-exploring-survival-on-the-titanic', 'chemalytics-exploring-survival-on-the-titanic', 'z888888861-exploring-survival-on-the-titanic', 'chauhanheta-exploring-survival-on-the-titanic', 'trvrmgn-exploring-survival-on-the-titanic', 'anishmayaramka-the-titanic-problem', 'hemantkhurana-exploring-survival-on-the-titanic', 'giannismo-exploring-survival-on-the-titanic', 'mrisdal-exploring-survival-on-the-titanic', 'mtknowlt-exploring-survival-on-the-titanic', 'jenioai-exploring-survival-on-the-titanic', 'gauravsatav-exploring-survival-on-the-titanic', 'ludejun-exploring-survival-on-the-titanic', 'yizhouwang-exploring-survival-on-the-titanic', 'arfinul-exploring-survival-on-the-titanicc', 'fermm92-exploring-survival-on-the-titanic', 'swatishukla-exploring-survival-on-the-titanic', 'nefise-exploring-survival-on-the-titanic', 'curtaincall-exploring-survival-on-the-titanic', 'gpellis-exploring-survival-on-the-titanic-with-r-notebook', 'tabouzid-exploring-survival-on-the-titanic', 'archeryue-exploring-survival-on-the-titanic', 'bryan1201-exploring-survival-on-the-titanic-by-bryan1201', 'contactsheetal-exploring-survival-on-the-titanic', 'dheerajgoudborlla-exploring-survival-on-the-titanic', 'dineshary-exploring-survival-on-the-titanic', 'pantelisvlachas-exploring-survival-on-the-titanic', 'tessacooper-exploring-survival-on-the-titanic3', 'kanhuachary-exploring-survival-on-the-titanic', 'foreman3-exploring-survival-on-the-titanic', 'gravc91-exploring-survival-on-the-titanic-forked', 'tessacooper-exploring-survival-on-the-titanic', 'johngunawan-exploring-survival-on-the-titanic', 'pcminers-exploring-survival-on-the-titanic', 'jamcarwal-exploring-survival-on-the-titanic', 'shikharparashar-exploring-survival-on-the-titanic']","['mohankanni-exploring-survival-on-the-titanic', 'mira5b-exploring-survival-on-the-titanic', 'kyanyoga-exploring-survival-on-the-titanic', 'wendyzhang1020-exploring-survival-on-the-titanic', 'tjbaur-exploring-survival-on-the-titanic', 'oldflag-exploring-survival-on-the-titanic-inr-frommegan', 'bonesaw98616-exploring-survival-on-the-titanic', 'birudvora-test-titanic', 'mac4vity-exploring-survival-on-the-titanic', 'oreddo-exploring-survival-on-the-titanic']","[0.9999223102572843, 0.9999082947975734, 0.9998880450505403, 0.9998452817816588, 0.9998108156917839, 0.9997329727732573, 0.999713177028438, 0.9995511894352215, 0.9994806919838781, 0.9994696970152622]","{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
ezhilvelme-titanic-neural-network-c-4-2,0.749,"['compute', 'as.factor', 'c', 'data.frame', 'gsub', 'ifelse', 'is.na', 'library', 'scale', 'table', 'bind_rows', 'neuralnet', 'median', 'model.matrix', 'read.csv', 'write.csv']","['dplyr', 'ggplot2', 'neuralnet', 'base']",5.067597981294,"['gsub', 'neuralnet', 'ifelse', 'write.csv', 'median', 'bind_rows', 'data.frame', 'model.matrix', 'scale', 'read.csv', 'table', 'as.factor', 'library', 'compute', 'c', 'is.na']",[],"['brirush-randomforest-implementation-of-titanic', 'shridhar1991-randomforest-implementation-of-titanic', 'annafreydenzon-titanic-machine-learning-from-disaster', 'nithishthirmul-titanic-data-test1', 'paulocressoni-titanic-using-stepwise-linear-regression', 'liudj2008-titanic', 'liudj2008-fork-of-titanic', 'anweshaghosh-titanic-forkofmultiplescripts-r', 'devanshugupta27-predicting-the-titanic-survival-rate', 'tobybot11-toby-s-titanic-analysis']","[0.5658840970531664, 0.5658840970531664, 0.5291120371290049, 0.5169102339163526, 0.471708446905735, 0.45691798033651265, 0.4550973409473072, 0.4420481365379918, 0.43830929572150873, 0.41636513113688767]","{'c(""package:neuralnet"", ""package:dplyr"")': ['compute'], 'package:base': ['as.factor', 'c', 'data.frame', 'gsub', 'ifelse', 'is.na', 'library', 'scale', 'table'], 'package:dplyr': ['bind_rows'], 'package:neuralnet': ['neuralnet'], 'package:stats': ['median', 'model.matrix'], 'package:utils': ['read.csv', 'write.csv']}"
artsyanka-kernel1-titanic-r,0.701,"['as.character', 'as.numeric', 'c', 'cbind', 'colnames', 'factor', 'ifelse', 'is.na', 'library', 'mean', 'scale', 'set.seed', 'summary', 'table', 'randomForest', 'ave', 'predict', 'read.csv', 'write.csv']","['caTools', 'randomForest', 'base']",0.717785120010376,"['mean', 'ave', 'as.character', 'is.na', 'summary', 'set.seed', 'factor', 'colnames', 'read.csv', 'table', 'randomForest', 'scale', 'c', 'as.numeric', 'ifelse', 'predict', 'write.csv', 'library', 'cbind']",[],"['thilakshasilva-predicting-titanic-survival-using-five-algorithms', 'piyushjhamb-predicting-titanic-survival', 'liudj2008-titanic', 'liudj2008-fork-of-titanic', 'seajaye-titanic-logistic-regression-0-78947', 'brirush-randomforest-implementation-of-titanic', 'shridhar1991-randomforest-implementation-of-titanic', 'nithishthirmul-titanic-data-test1', 'amodi8-titanic-exploring-survival-using-machine-learning', 'turntrout-titanic-data-exploration']","[0.09903837589370747, 0.09903837589370747, 0.0772255278501924, 0.07679490623664059, 0.06013225901746587, 0.058952530591017197, 0.058952530591017197, 0.058321529923124706, 0.057526151616153404, 0.05741587183607415]","{'package:base': ['as.character', 'as.numeric', 'c', 'cbind', 'colnames', 'factor', 'ifelse', 'is.na', 'library', 'mean', 'scale', 'set.seed', 'summary', 'table'], 'package:randomForest': ['randomForest'], 'package:stats': ['ave', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
mkgiitr-titanic-survival-prediction,0.744,"['filter', 'complete', 'apply', 'as.factor', 'c', 'class', 'data.frame', 'factor', 'getwd', 'gsub', 'is.na', 'lapply', 'length', 'library', 'list.files', 'max', 'mean', 'min', 'names', 'paste', 'return', 'sapply', 'set.seed', 'strsplit', 'sum', 't', 'table', 'unique', 'bind_rows', 'aes', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_hline', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous', 'theme_few', 'hist', 'par', 'mice', 'randomForest', 'dollar_format', 'median', 'predict', 'sd', 'read.csv', 'str', 'write.csv']","['tidyverse', 'tidyverse', 'ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",24.201274156570395,"['labs', 'complete', 'mean', 'median', 'lapply', 'min', 'is.na', 'names', 'geom_boxplot', 'scale_x_continuous', 'theme_few', 'class', 't', 'as.factor', 'filter', 'sapply', 'mice', 'str', 'hist', 'geom_hline', 'set.seed', 'gsub', 'factor', 'unique', 'max', 'geom_bar', 'apply', 'length', 'sd', 'read.csv', 'table', 'par', 'return', 'getwd', 'randomForest', 'scale_y_continuous', 'c', 'aes', 'paste', 'geom_vline', 'sum', 'predict', 'write.csv', 'dollar_format', 'list.files', 'bind_rows', 'data.frame', 'strsplit', 'ggplot', 'geom_density', 'library']",[],"['hemingwei-titanic-r-solution-from-megan-risdal', 'yugrao-exploring-survival-on-the-titanic', 'yugrao-titanic-n', 'tetyama-trial-titanic', 'xxxmatxxx-titanic-getting-started-with-randomforest', 'mira5b-exploring-survival-on-the-titanic', 'mohankanni-exploring-survival-on-the-titanic', 'kyanyoga-exploring-survival-on-the-titanic', 'oldflag-exploring-survival-on-the-titanic-inr-frommegan', 'wendyzhang1020-exploring-survival-on-the-titanic']","[0.896395615414318, 0.895913943078311, 0.895913943078311, 0.8956877645172554, 0.8939263173084974, 0.8891742066406005, 0.8888906367997377, 0.888860176411836, 0.8887223234067667, 0.8886273350351879]","{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'c(""package:mice"", ""package:tidyr"")': ['complete'], 'package:base': ['apply', 'as.factor', 'c', 'class', 'data.frame', 'factor', 'getwd', 'gsub', 'is.na', 'lapply', 'length', 'library', 'list.files', 'max', 'mean', 'min', 'names', 'paste', 'return', 'sapply', 'set.seed', 'strsplit', 'sum', 't', 'table', 'unique'], 'package:dplyr': ['bind_rows'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_hline', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'par'], 'package:mice': ['mice'], 'package:randomForest': ['randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'sd'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
