Name,Accuracy,Functions,Packages,Runtime,Functions_by_users
prabhulingayya-titanic-prediction-using-logistic-regression,0.746,"['as.factor', 'gsub', 'is.na', 'mean', 'nrow', 'rbind', 'rep', 'round', 'summary', 'which', 'binomial', 'glm', 'predict', 'read.csv', 'str', 'write.csv']",['base'],0.34487295150756797,"['gsub', 'rbind', 'nrow', 'predict', 'write.csv', 'mean', 'read.csv', 'binomial', 'as.factor', 'summary', 'which', 'round', 'rep', 'str', 'is.na', 'glm']"
erskumars-titanic-survival-eda-and-survival-rate-prediction,0.749,"['as.data.frame', 'as.numeric', 'c', 'colnames', 'data.frame', 'duplicated', 'factor', 'gsub', 'ifelse', 'is.na', 'length', 'library', 'ncol', 'nrow', 'paste0', 'print', 'prop.table', 'return', 'sapply', 'seq', 'subset', 'sum', 'summary', 'table', 'which', 'funs', 'summarise_all', 'aes', 'geom_bar', 'geom_boxplot', 'geom_text', 'ggplot', 'labs', 'position_dodge', 'scale_y_continuous', 'rpart', 'median', 'predict', 'head', 'read.csv', 'str', 'write.csv']","['dplyr', 'ggplot2', 'rpart', 'randomForest', 'base']",2.1178131103515603,"['labs', 'nrow', 'geom_text', 'median', 'which', 'is.na', 'duplicated', 'subset', 'geom_boxplot', 'print', 'ncol', 'prop.table', 'summarise_all', 'rpart', 'summary', 'sapply', 'str', 'gsub', 'factor', 'colnames', 'position_dodge', 'geom_bar', 'length', 'read.csv', 'paste0', 'table', 'return', 'as.data.frame', 'scale_y_continuous', 'c', 'aes', 'as.numeric', 'ifelse', 'sum', 'funs', 'predict', 'seq', 'write.csv', 'data.frame', 'ggplot', 'head', 'library']"
paulocressoni-titanic-using-stepwise-linear-regression,0.756,"['fill_age_by_title', 'as.character', 'as.factor', 'as.numeric', 'c', 'data.frame', 'gsub', 'is.na', 'library', 'mean', 'round', 'sub', 'summary', 'stepAIC', 'lm', 'predict', 'read.csv', 'write.csv']","['MASS', 'ggplot2', 'ggthemes', 'base']",0.9562289714813229,"['gsub', 'as.numeric', 'predict', 'sub', 'mean', 'write.csv', 'data.frame', 'stepAIC', 'read.csv', 'lm', 'as.factor', 'user defined', 'library', 'as.character', 'round', 'summary', 'c', 'is.na']"
abhayjindal-exploring-survival-on-the-titanic,0.744,"['filter', 'as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table', 'bind_rows', 'dense_rank', 'desc', 'mutate', 'aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous', 'theme_few', 'hist', 'legend', 'mosaicplot', 'par', 'plot', 'complete', 'md.pattern', 'mice', 'importance', 'randomForest', 'dollar_format', 'median', 'predict', 'reorder', 'read.csv', 'str', 'write.csv']","['ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",25.7182919979095,"['labs', 'complete', 'geom_text', 'median', 'lapply', 'md.pattern', 'coord_flip', 'cat', 'dense_rank', 'str', 'is.na', 'names', 'geom_boxplot', 'scale_x_continuous', 'theme_few', 'as.factor', 'filter', 'sapply', 'round', 'geom_histogram', 'hist', 'mosaicplot', 'geom_hline', 'desc', 'set.seed', 'gsub', 'mice', 'factor', 'colnames', 'importance', 'geom_bar', 'read.csv', 'paste0', 'table', 'par', 'randomForest', 'scale_y_continuous', 'row.names', 'c', 'aes', 'mutate', 'paste', 'geom_vline', 'sum', 'plot', 'legend', 'dollar_format', 'predict', 'reorder', 'bind_rows', 'write.csv', 'data.frame', 'nlevels', 'strsplit', 'ggplot', 'geom_density', 'library', 'facet_grid']"
jonmak-identify-travel-groups-in-titanic,0.734,"['`:=`', 'as.character', 'as.factor', 'as.integer', 'as.logical', 'as.numeric', 'c', 'data.frame', 'grepl', 'gsub', 'ifelse', 'is.na', 'library', 'list', 'match', 'max', 'mean', 'merge', 'sapply', 'strsplit', 'substr', 'sum', 'system', 'train', 'trainControl', 'fread', 'aes', 'facet_grid', 'geom_bar', 'geom_density', 'geom_jitter', 'geom_line', 'geom_violin', 'ggplot', 'scale_x_continuous', 'poly', 'predict', 'str_extract_all', 'write.csv']","['ggplot2', 'readr', 'data.table', 'stringr', 'caret', 'base']",16.105898141861,"['list', 'mean', 'as.logical', 'merge', 'geom_jitter', 'as.character', 'is.na', 'scale_x_continuous', 'poly', 'as.factor', 'sapply', 'gsub', 'match', 'as.integer', 'max', 'geom_bar', 'train', 'c', 'fread', 'aes', 'str_extract_all', 'as.numeric', 'ifelse', 'sum', 'geom_violin', 'predict', 'write.csv', 'facet_grid', 'geom_line', 'data.frame', 'grepl', 'strsplit', 'ggplot', 'geom_density', 'substr', 'user defined', 'library', 'trainControl', 'system']"
jenioai-titanic-data-analysis-rf-prediction-0-81818,0.763,"['aes', 'bind_rows', 'coord_flip', 'corrplot', 'dense_rank', 'desc', 'dollar_format', 'element_blank', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_density', 'geom_histogram', 'geom_jitter', 'geom_text', 'geom_vline', 'ggplot', 'ggtitle', 'labs', 'mutate', 'revalue', 'scale_fill_discrete', 'scale_x_continuous', 'theme', 'theme_few', 'xlab', 'ylab', 'apply', 'as.integer', 'as.numeric', 'c', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'list', 'mean', 'paste0', 'print', 'rep', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'summary', 'suppressMessages', 'table', 'tapply', 'legend', 'mosaicplot', 'plot', 'hcl', 'importance', 'randomForest', 'varImpPlot', 'aggregate', 'cor', 'median', 'predict', 'reorder', 'read.csv', 'str', 'write.csv']","['randomForest', 'base']",3.5781230926513703,"['list', 'mean', 'median', 'hcl', 'cor', 'is.na', 'print', 'summary', 'sapply', 'round', 'rep', 'mosaicplot', 'importance', 'varImpPlot', 'str', 'set.seed', 'gsub', 'factor', 'as.integer', 'colnames', 'aggregate', 'apply', 'read.csv', 'paste0', 'suppressMessages', 'table', 'randomForest', 'row.names', 'c', 'as.numeric', 'sum', 'plot', 'legend', 'predict', 'reorder', 'write.csv', 'data.frame', 'strsplit', 'tapply', 'user defined', 'library']"
rayuga-exploring-survival-on-the-titanic,0.744,"['filter', 'as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table', 'bind_rows', 'dense_rank', 'desc', 'mutate', 'aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous', 'theme_few', 'hist', 'legend', 'mosaicplot', 'par', 'plot', 'complete', 'md.pattern', 'mice', 'importance', 'randomForest', 'dollar_format', 'median', 'predict', 'reorder', 'read.csv', 'str', 'write.csv']","['ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",24.554289102554304,"['labs', 'complete', 'geom_text', 'median', 'lapply', 'md.pattern', 'coord_flip', 'cat', 'dense_rank', 'str', 'is.na', 'names', 'geom_boxplot', 'scale_x_continuous', 'theme_few', 'as.factor', 'filter', 'sapply', 'round', 'geom_histogram', 'hist', 'mosaicplot', 'geom_hline', 'desc', 'set.seed', 'gsub', 'mice', 'factor', 'colnames', 'importance', 'geom_bar', 'read.csv', 'paste0', 'table', 'par', 'randomForest', 'scale_y_continuous', 'row.names', 'c', 'aes', 'mutate', 'paste', 'geom_vline', 'sum', 'plot', 'legend', 'dollar_format', 'predict', 'reorder', 'bind_rows', 'write.csv', 'data.frame', 'nlevels', 'strsplit', 'ggplot', 'geom_density', 'library', 'facet_grid']"
ezhilvelme-titanic-neural-network-c-4-2,0.749,"['compute', 'as.factor', 'c', 'data.frame', 'gsub', 'ifelse', 'is.na', 'library', 'scale', 'table', 'bind_rows', 'neuralnet', 'median', 'model.matrix', 'read.csv', 'write.csv']","['dplyr', 'ggplot2', 'neuralnet', 'base']",5.067597981294,"['gsub', 'neuralnet', 'ifelse', 'write.csv', 'median', 'bind_rows', 'data.frame', 'model.matrix', 'scale', 'read.csv', 'table', 'as.factor', 'library', 'compute', 'c', 'is.na']"
artsyanka-kernel1-titanic-r,0.701,"['as.character', 'as.numeric', 'c', 'cbind', 'colnames', 'factor', 'ifelse', 'is.na', 'library', 'mean', 'scale', 'set.seed', 'summary', 'table', 'randomForest', 'ave', 'predict', 'read.csv', 'write.csv']","['caTools', 'randomForest', 'base']",0.717785120010376,"['mean', 'ave', 'as.character', 'is.na', 'summary', 'set.seed', 'factor', 'colnames', 'read.csv', 'table', 'randomForest', 'scale', 'c', 'as.numeric', 'ifelse', 'predict', 'write.csv', 'library', 'cbind']"
mkgiitr-titanic-survival-prediction,0.744,"['filter', 'complete', 'apply', 'as.factor', 'c', 'class', 'data.frame', 'factor', 'getwd', 'gsub', 'is.na', 'lapply', 'length', 'library', 'list.files', 'max', 'mean', 'min', 'names', 'paste', 'return', 'sapply', 'set.seed', 'strsplit', 'sum', 't', 'table', 'unique', 'bind_rows', 'aes', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_hline', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous', 'theme_few', 'hist', 'par', 'mice', 'randomForest', 'dollar_format', 'median', 'predict', 'sd', 'read.csv', 'str', 'write.csv']","['tidyverse', 'tidyverse', 'ggplot2', 'ggthemes', 'scales', 'dplyr', 'mice', 'randomForest', 'base']",24.201274156570395,"['labs', 'complete', 'mean', 'median', 'lapply', 'min', 'is.na', 'names', 'geom_boxplot', 'scale_x_continuous', 'theme_few', 'class', 't', 'as.factor', 'filter', 'sapply', 'mice', 'str', 'hist', 'geom_hline', 'set.seed', 'gsub', 'factor', 'unique', 'max', 'geom_bar', 'apply', 'length', 'sd', 'read.csv', 'table', 'par', 'return', 'getwd', 'randomForest', 'scale_y_continuous', 'c', 'aes', 'paste', 'geom_vline', 'sum', 'predict', 'write.csv', 'dollar_format', 'list.files', 'bind_rows', 'data.frame', 'strsplit', 'ggplot', 'geom_density', 'library']"
